check-targets: OK, 238 cargo test targets all accounted for in scripts/acceptance-targets.tsv
acceptance-wsl: logs in /private/tmp/claude-501/-Users-zerozaki07-tmp-libmuffintin/e260fabd-b225-4ee1-80e9-75310e7132bc/scratchpad/audit/baseline
RUN_EXIT typed_matrix_factors ranks=4 exit=0
RUN_EXIT typed_distributed_qr ranks=1 exit=0
RUN_EXIT typed_distributed_qr ranks=2 exit=0
RUN_EXIT typed_distributed_qr ranks=4 exit=0
RUN_EXIT typed_distributed_svd ranks=1 exit=0
RUN_EXIT typed_distributed_svd ranks=2 exit=0
RUN_EXIT typed_distributed_svd ranks=4 exit=0
RUN_EXIT typed_svd_truncation ranks=1 exit=0
RUN_EXIT typed_svd_truncation ranks=2 exit=0
RUN_EXIT typed_svd_truncation ranks=4 exit=0
RUN_EXIT randomized_guess ranks=1 exit=0
RUN_EXIT randomized_guess ranks=2 exit=0
RUN_EXIT randomized_guess ranks=4 exit=0
RUN_EXIT distributed_random_fill ranks=1 exit=0
RUN_EXIT distributed_random_fill ranks=2 exit=0
RUN_EXIT distributed_random_fill ranks=4 exit=0
RUN_EXIT typed_grid_blas ranks=1 exit=0
RUN_EXIT typed_grid_blas ranks=2 exit=0
RUN_EXIT typed_grid_blas ranks=4 exit=0
RUN_EXIT typed_randomized_svd ranks=1 exit=0
RUN_EXIT typed_randomized_svd ranks=2 exit=0
RUN_EXIT typed_randomized_svd ranks=4 exit=0
RUN_EXIT typed_distributed_eigh ranks=1 exit=0
RUN_EXIT typed_distributed_eigh ranks=2 exit=0
RUN_EXIT typed_distributed_eigh ranks=4 exit=0
RUN_EXIT typed_tensor_svd ranks=1 exit=0
RUN_EXIT typed_tensor_svd ranks=2 exit=0
RUN_EXIT typed_tensor_svd ranks=4 exit=0
RUN_EXIT typed_multilinear ranks=1 exit=0
RUN_EXIT typed_multilinear ranks=2 exit=0
RUN_EXIT typed_multilinear ranks=4 exit=0
RUN_EXIT tttp_memory ranks=1 exit=0
RUN_EXIT tttp_memory ranks=2 exit=0
RUN_EXIT tttp_memory ranks=4 exit=0
RUN_EXIT tensor_norms ranks=1 exit=0
RUN_EXIT tensor_norms ranks=2 exit=0
RUN_EXIT tensor_norms ranks=4 exit=0
RUN_EXIT storage_conversion ranks=1 exit=0
RUN_EXIT storage_conversion ranks=2 exit=0
RUN_EXIT storage_conversion ranks=4 exit=0
RUN_EXIT sparse_random_fill ranks=1 exit=0
RUN_EXIT sparse_random_fill ranks=2 exit=0
RUN_EXIT sparse_random_fill ranks=4 exit=0
RUN_EXIT subworld_transfer ranks=1 exit=0
RUN_EXIT subworld_transfer ranks=2 exit=0
RUN_EXIT subworld_transfer ranks=4 exit=0
RUN_EXIT sparse_text_io ranks=1 exit=0
RUN_EXIT sparse_text_io ranks=2 exit=0
RUN_EXIT sparse_text_io ranks=4 exit=0
RUN_EXIT symmetric_norms ranks=1 exit=0
RUN_EXIT symmetric_norms ranks=2 exit=0
RUN_EXIT symmetric_norms ranks=4 exit=0
RUN_EXIT symmetric_text_io ranks=1 exit=0
RUN_EXIT symmetric_text_io ranks=2 exit=0
RUN_EXIT symmetric_text_io ranks=4 exit=0
RUN_EXIT pair_read ranks=1 exit=0
RUN_EXIT pair_read ranks=2 exit=0
RUN_EXIT pair_read ranks=4 exit=0
RUN_EXIT binary_io ranks=1 exit=0
RUN_EXIT binary_io ranks=2 exit=0
RUN_EXIT binary_io ranks=4 exit=0
RUN_EXIT schedule ranks=1 exit=0
RUN_EXIT schedule ranks=2 exit=0
RUN_EXIT schedule ranks=4 exit=0
RUN_EXIT cyclic_reshuffle ranks=1 exit=0
RUN_EXIT cyclic_reshuffle ranks=2 exit=0
RUN_EXIT cyclic_reshuffle ranks=4 exit=0
RUN_EXIT bool_norm ranks=1 exit=0
RUN_EXIT bool_norm ranks=2 exit=0
RUN_EXIT bool_norm ranks=4 exit=0
RUN_EXIT symmetric_reshuffle ranks=1 exit=0
RUN_EXIT symmetric_reshuffle ranks=2 exit=0
RUN_EXIT symmetric_reshuffle ranks=4 exit=0
RUN_EXIT symmetric_subworld ranks=1 exit=0
RUN_EXIT symmetric_subworld ranks=2 exit=0
RUN_EXIT symmetric_subworld ranks=4 exit=0
RUN_EXIT upstream_subworld_gemm ranks=1 exit=0
RUN_EXIT upstream_subworld_gemm ranks=2 exit=0
RUN_EXIT upstream_subworld_gemm ranks=4 exit=0
RUN_EXIT upstream_readall ranks=1 exit=0
RUN_EXIT upstream_readall ranks=2 exit=0
RUN_EXIT upstream_readall ranks=4 exit=0
RUN_EXIT upstream_readwrite ranks=1 exit=0
RUN_EXIT upstream_readwrite ranks=2 exit=0
RUN_EXIT upstream_readwrite ranks=4 exit=0
RUN_EXIT upstream_sptensor_sum ranks=1 exit=0
RUN_EXIT upstream_sptensor_sum ranks=2 exit=0
RUN_EXIT upstream_sptensor_sum ranks=4 exit=0
RUN_EXIT upstream_permute_multiworld ranks=1 exit=0
RUN_EXIT upstream_permute_multiworld ranks=2 exit=0
RUN_EXIT upstream_permute_multiworld ranks=4 exit=0
RUN_EXIT indexed_write_order ranks=1 exit=0
RUN_EXIT indexed_write_order ranks=2 exit=0
RUN_EXIT indexed_write_order ranks=4 exit=0
RUN_EXIT symmetric_permuted_io ranks=1 exit=0
RUN_EXIT symmetric_permuted_io ranks=2 exit=0
RUN_EXIT symmetric_permuted_io ranks=4 exit=0
RUN_EXIT sparse_permuted_io ranks=1 exit=0
RUN_EXIT sparse_permuted_io ranks=2 exit=0
RUN_EXIT sparse_permuted_io ranks=4 exit=0
RUN_EXIT upstream_scalar ranks=1 exit=0
RUN_EXIT upstream_scalar ranks=2 exit=0
RUN_EXIT upstream_scalar ranks=4 exit=0
RUN_EXIT upstream_speye ranks=1 exit=0
RUN_EXIT upstream_speye ranks=2 exit=0
RUN_EXIT upstream_speye ranks=4 exit=0
RUN_EXIT upstream_ccsdt_map ranks=1 exit=0
RUN_EXIT upstream_ccsdt_map ranks=2 exit=0
RUN_EXIT upstream_ccsdt_map ranks=4 exit=0
RUN_EXIT upstream_ccsdt_t3_to_t2 ranks=1 exit=0
RUN_EXIT upstream_ccsdt_t3_to_t2 ranks=2 exit=0
RUN_EXIT upstream_ccsdt_t3_to_t2 ranks=4 exit=0
RUN_EXIT symmetric_random ranks=1 exit=0
RUN_EXIT symmetric_random ranks=2 exit=0
RUN_EXIT symmetric_random ranks=4 exit=0
RUN_EXIT upstream_weigh4d ranks=1 exit=0
RUN_EXIT upstream_weigh4d ranks=2 exit=0
RUN_EXIT upstream_weigh4d ranks=4 exit=0
RUN_EXIT upstream_dft ranks=1 exit=0
RUN_EXIT upstream_dft ranks=2 exit=0
RUN_EXIT upstream_dft ranks=4 exit=0
RUN_EXIT distributed_symmetric_function ranks=1 exit=0
RUN_EXIT distributed_symmetric_function ranks=2 exit=0
RUN_EXIT distributed_symmetric_function ranks=4 exit=0
RUN_EXIT integer_random ranks=1 exit=0
RUN_EXIT integer_random ranks=2 exit=0
RUN_EXIT integer_random ranks=4 exit=0
RUN_EXIT distributed_sparse_dense_output ranks=1 exit=0
RUN_EXIT distributed_sparse_dense_output ranks=2 exit=0
RUN_EXIT distributed_sparse_dense_output ranks=4 exit=0
RUN_EXIT distributed_sparse_storage_dispatch ranks=1 exit=0
